tournament;team
cs_summit 1;Cloud9
cs_summit 1;Team EnVyUs
cs_summit 1;Gambit Esports
cs_summit 1;GODSENT
cs_summit 1;Team Liquid
cs_summit 1;Ninjas in Pyjamas
cs_summit 1;OpTic Gaming
cs_summit 1;SK Gaming
DreamHack Open Denver 2017;BIG
DreamHack Open Denver 2017;Cloud9
DreamHack Open Denver 2017;Counter Logic Gaming
DreamHack Open Denver 2017;mousesports
DreamHack Open Denver 2017;Renegades
DreamHack Open Denver 2017;Tempo Storm
DreamHack Open Denver 2017;Team LDLC.com
DreamHack Open Denver 2017;NRG Esports
cs_summit 2;Cloud9
cs_summit 2;Team Liquid
cs_summit 2;Ninjas in Pyjamas
cs_summit 2;North
cs_summit 2;Torqued
cs_summit 2;SK Gaming
cs_summit 2;Vega Squadron
cs_summit 2;Heroic
DreamHack Open Winter 2017;BIG
DreamHack Open Winter 2017;Gambit Esports
DreamHack Open Winter 2017;Heroic
DreamHack Open Winter 2017;mousesports
DreamHack Open Winter 2017;Natus Vincere
DreamHack Open Winter 2017;Team EnVyUs
DreamHack Open Winter 2017;North Academy
DreamHack Open Winter 2017;Rise Nation
Esports Championship Series Season 4 - Europe;Astralis
Esports Championship Series Season 4 - Europe;Team EnVyUs
Esports Championship Series Season 4 - Europe;FaZe Clan
Esports Championship Series Season 4 - Europe;Fnatic
Esports Championship Series Season 4 - Europe;G2 Esports
Esports Championship Series Season 4 - Europe;GODSENT
Esports Championship Series Season 4 - Europe;mousesports
Esports Championship Series Season 4 - Europe;Ninjas in Pyjamas
Esports Championship Series Season 4 - Europe;Virtus.pro
Esports Championship Series Season 4 - Europe;Heroic
Esports Championship Series Season 4 - North America;Cloud9
Esports Championship Series Season 4 - North America;Counter Logic Gaming
Esports Championship Series Season 4 - North America;Immortals
Esports Championship Series Season 4 - North America;Team Liquid
Esports Championship Series Season 4 - North America;NRG Esports
Esports Championship Series Season 4 - North America;OpTic Gaming
Esports Championship Series Season 4 - North America;SK Gaming
Esports Championship Series Season 4 - North America;Renegades
Esports Championship Series Season 4 - North America;Luminosity Gaming
Esports Championship Series Season 4 - North America;Ghost Gaming
Esports Championship Series Season 4 - Finals;Fnatic
Esports Championship Series Season 4 - Finals;FaZe Clan
Esports Championship Series Season 4 - Finals;mousesports
Esports Championship Series Season 4 - Finals;Astralis
Esports Championship Series Season 4 - Finals;Cloud9
Esports Championship Series Season 4 - Finals;OpTic Gaming
Esports Championship Series Season 4 - Finals;Team Liquid
Esports Championship Series Season 4 - Finals;Luminosity Gaming
Norther Arena 2016 - Montreal;Counter Logic Gaming
Norther Arena 2016 - Montreal;Team EnVyUs
Norther Arena 2016 - Montreal;G2 Esports
Norther Arena 2016 - Montreal;Heroic
Norther Arena 2016 - Montreal;Team Liquid
Norther Arena 2016 - Montreal;NRG Esports
Norther Arena 2016 - Montreal;OpTic Gaming
Norther Arena 2016 - Montreal;compLexity Gaming
StarLadder & i-League StarSeries Season 4;Astralis
StarLadder & i-League StarSeries Season 4;Cloud9
StarLadder & i-League StarSeries Season 4;FaZe Clan
StarLadder & i-League StarSeries Season 4;Fnatic
StarLadder & i-League StarSeries Season 4;G2 Esports
StarLadder & i-League StarSeries Season 4;Gambit Esports
StarLadder & i-League StarSeries Season 4;mousesports
StarLadder & i-League StarSeries Season 4;Natus Vincere
StarLadder & i-League StarSeries Season 4;SK Gaming
StarLadder & i-League StarSeries Season 4;Virtus.pro
StarLadder & i-League StarSeries Season 4;HellRaisers
StarLadder & i-League StarSeries Season 4;Heroic
StarLadder & i-League StarSeries Season 4;Team Liquid
StarLadder & i-League StarSeries Season 4;Renegades
StarLadder & i-League StarSeries Season 4;TyLoo
StarLadder & i-League StarSeries Season 4;MVP PK
ESL Pro League Season 6 - Finals;Fnatic
ESL Pro League Season 6 - Finals;North
ESL Pro League Season 6 - Finals;FaZe Clan
ESL Pro League Season 6 - Finals;Astralis
ESL Pro League Season 6 - Finals;Ninjas in Pyjamas
ESL Pro League Season 6 - Finals;HellRaisers
ESL Pro League Season 6 - Finals;OpTic Gaming
ESL Pro League Season 6 - Finals;SK Gaming
ESL Pro League Season 6 - Finals;Team Liquid
ESL Pro League Season 6 - Finals;NRG Esports
ESL Pro League Season 6 - Finals;Misfits
ESL Pro League Season 6 - Finals;Luminosity Gaming
